[+1.4649491407087e+07, +0.0000000000000e+00]
[+1.4649472311284e+07, +5.0294665503046e-24]
[+1.4649446691122e+07, +2.0117812086182e-23]
[+1.4649414546774e+07, +4.5264906879477e-23]
[+1.4649375878452e+07, +8.0470556463163e-23]
[+1.4649330686412e+07, +1.2573450163448e-22]
[+1.4649278970950e+07, +1.8105641845893e-22]
[+1.4649220732405e+07, +2.4643591827513e-22]
[+1.4649155971159e+07, +3.2187254770055e-22]
[+1.4649084687635e+07, +4.0736578863810e-22]
[+1.4649006882298e+07, +5.0291505828358e-22]
[+1.4648922555655e+07, +6.0851970913399e-22]
[+1.4648831708254e+07, +7.2417902899671e-22]
[+1.4648734340687e+07, +8.4989224099955e-22]
[+1.4648630453586e+07, +9.8565850360162e-22]
[+1.4648520047626e+07, +1.1314769106052e-21]
[+1.4648403123525e+07, +1.2873464911681e-21]
[+1.4648279682039e+07, +1.4532662098175e-21]
[+1.4648149723971e+07, +1.6292349664642e-21]
[+1.4648013250161e+07, +1.8152515964176e-21]
[+1.4647870261495e+07, +2.0113148704019e-21]
[+1.4647720758899e+07, +2.2174234945733e-21]
[+1.4647564743340e+07, +2.4335761105373e-21]
[+1.4647402215828e+07, +2.6597712953676e-21]
[+1.4647233177415e+07, +2.8960075616260e-21]
[+1.4647057629194e+07, +3.1422833573818e-21]
[+1.4646875572301e+07, +3.3985970662339e-21]
[+1.4646687007912e+07, +3.6649470073327e-21]
[+1.4646491937247e+07, +3.9413314354025e-21]
[+1.4646290361565e+07, +4.2277485407662e-21]
[+1.4646082282169e+07, +4.5241964493689e-21]
[+1.4645867700403e+07, +4.8306732228043e-21]
[+1.4645646617653e+07, +5.1471768583406e-21]
[+1.4645419035345e+07, +5.4737052889478e-21]
[+1.4645184954950e+07, +5.8102563833256e-21]
[+1.4644944377977e+07, +6.1568279459327e-21]
[+1.4644697305979e+07, +6.5134177170161e-21]
[+1.4644443740549e+07, +6.8800233726421e-21]
[+1.4644183683324e+07, +7.2566425247274e-21]
[+1.4643917135980e+07, +7.6432727210717e-21]
[+1.4643644100236e+07, +8.0399114453908e-21]
[+1.4643364577851e+07, +8.4465561173504e-21]
[+1.4643078570627e+07, +8.8632040926011e-21]
[+1.4642786080408e+07, +9.2898526628143e-21]
[+1.4642487109077e+07, +9.7264990557181e-21]
[+1.4642181658561e+07, +1.0173140435135e-20]
[+1.4641869730826e+07, +1.0629773901022e-20]
[+1.4641551327882e+07, +1.1096396489504e-20]
[+1.4641226451778e+07, +1.1573005172922e-20]
[+1.4640895104606e+07, +1.2059596859867e-20]
[+1.4640557288497e+07, +1.2556168395223e-20]
[+1.4640213005627e+07, +1.3062716560212e-20]
[+1.4639862258209e+07, +1.3579238072436e-20]
[+1.4639505048500e+07, +1.4105729585920e-20]
[+1.4639141378798e+07, +1.4642187691157e-20]
[+1.4638771251440e+07, +1.5188608915155e-20]
[+1.4638394668807e+07, +1.5744989721483e-20]
[+1.4638011633319e+07, +1.6311326510319e-20]
[+1.4637622147438e+07, +1.6887615618495e-20]
[+1.4637226213666e+07, +1.7473853319551e-20]
[+1.4636823834548e+07, +1.8070035823783e-20]
[+1.4636415012668e+07, +1.8676159278290e-20]
[+1.4635999750651e+07, +1.9292219767033e-20]
[+1.4635578051163e+07, +1.9918213310879e-20]
[+1.4635149916913e+07, +2.0554135867662e-20]
[+1.4634715350648e+07, +2.1199983332230e-20]
[+1.4634274355157e+07, +2.1855751536505e-20]
[+1.4633826933270e+07, +2.2521436249536e-20]
[+1.4633373087856e+07, +2.3197033177556e-20]
[+1.4632912821827e+07, +2.3882537964041e-20]
[+1.4632446138133e+07, +2.4577946189764e-20]
[+1.4631973039768e+07, +2.5283253372857e-20]
[+1.4631493529764e+07, +2.5998454968872e-20]
[+1.4631007611193e+07, +2.6723546370837e-20]
[+1.4630515287170e+07, +2.7458522909320e-20]
[+1.4630016560848e+07, +2.8203379852493e-20]
[+1.4629511435422e+07, +2.8958112406190e-20]
[+1.4628999914126e+07, +2.9722715713976e-20]
[+1.4628482000235e+07, +3.0497184857206e-20]
[+1.4627957697065e+07, +3.1281514855097e-20]
[+1.4627427007970e+07, +3.2075700664788e-20]
[+1.4626889936347e+07, +3.2879737181408e-20]
[+1.4626346485631e+07, +3.3693619238147e-20]
[+1.4625796659298e+07, +3.4517341606323e-20]
[+1.4625240460863e+07, +3.5350898995449e-20]
[+1.4624677893883e+07, +3.6194286053304e-20]
[+1.4624108961952e+07, +3.7047497366007e-20]
[+1.4623533668707e+07, +3.7910527458084e-20]
[+1.4622952017822e+07, +3.8783370792543e-20]
[+1.4622364013013e+07, +3.9666021770947e-20]
[+1.4621769658036e+07, +4.0558474733487e-20]
[+1.4621168956683e+07, +4.1460723959058e-20]
[+1.4620561912790e+07, +4.2372763665334e-20]
[+1.4619948530230e+07, +4.3294588008842e-20]
[+1.4619328812917e+07, +4.4226191085044e-20]
[+1.4618702764803e+07, +4.5167566928409e-20]
[+1.4618070389881e+07, +4.6118709512497e-20]
[+1.4617431692182e+07, +4.7079612750034e-20]
[+1.4616786675778e+07, +4.8050270492995e-20]
[+1.4616135344778e+07, +4.9030676532683e-20]
[+1.4615477703332e+07, +5.0020824599812e-20]
[+1.4614813755628e+07, +5.1020708364587e-20]
[+1.4614143505894e+07, +5.2030321436791e-20]
[+1.4613466958398e+07, +5.3049657365866e-20]
[+1.4612784117444e+07, +5.4078709640996e-20]
[+1.4612094987378e+07, +5.5117471691198e-20]
[+1.4611399572583e+07, +5.6165936885403e-20]
[+1.4610697877481e+07, +5.7224098532545e-20]
[+1.4609989906535e+07, +5.8291949881647e-20]
[+1.4609275664242e+07, +5.9369484121912e-20]
[+1.4608555155144e+07, +6.0456694382810e-20]
[+1.4607828383815e+07, +6.1553573734167e-20]
[+1.4607095354873e+07, +6.2660115186260e-20]
[+1.4606356072971e+07, +6.3776311689901e-20]
[+1.4605610542802e+07, +6.4902156136537e-20]
[+1.4604858769098e+07, +6.6037641358336e-20]
[+1.4604100756626e+07, +6.7182760128284e-20]
[+1.4603336510195e+07, +6.8337505160278e-20]
[+1.4602566034651e+07, +6.9501869109222e-20]
[+1.4601789334877e+07, +7.0675844571122e-20]
[+1.4601006415795e+07, +7.1859424083179e-20]
[+1.4600217282366e+07, +7.3052600123893e-20]
[+1.4599421939585e+07, +7.4255365113154e-20]
[+1.4598620392490e+07, +7.5467711412345e-20]
[+1.4597812646154e+07, +7.6689631324436e-20]
[+1.4596998705687e+07, +7.7921117094091e-20]
[+1.4596178576239e+07, +7.9162160907762e-20]
[+1.4595352262996e+07, +8.0412754893793e-20]
[+1.4594519771182e+07, +8.1672891122522e-20]
[+1.4593681106058e+07, +8.2942561606382e-20]
[+1.4592836272923e+07, +8.4221758300007e-20]
[+1.4591985277112e+07, +8.5510473100334e-20]
[+1.4591128124000e+07, +8.6808697846706e-20]
[+1.4590264818996e+07, +8.8116424320982e-20]
[+1.4589395367549e+07, +8.9433644247638e-20]
[+1.4588519775143e+07, +9.0760349293877e-20]
[+1.4587638047299e+07, +9.2096531069735e-20]
[+1.4586750189577e+07, +9.3442181128189e-20]
[+1.4585856207571e+07, +9.4797290965265e-20]
[+1.4584956106913e+07, +9.6161852020150e-20]
[+1.4584049893273e+07, +9.7535855675299e-20]
[+1.4583137572356e+07, +9.8919293256546e-20]
[+1.4582219149904e+07, +1.0031215603322e-19]
[+1.4581294631695e+07, +1.0171443521824e-19]
[+1.4580364023544e+07, +1.0312612196826e-19]
[+1.4579427331302e+07, +1.0454720738375e-19]
[+1.4578484560857e+07, +1.0597768250913e-19]
[+1.4577535718133e+07, +1.0741753833286e-19]
[+1.4576580809088e+07, +1.0886676578760e-19]
[+1.4575619839719e+07, +1.1032535575027e-19]
[+1.4574652816057e+07, +1.1179329904221e-19]
[+1.4573679744170e+07, +1.1327058642929e-19]
[+1.4572700630162e+07, +1.1475720862200e-19]
[+1.4571715480170e+07, +1.1625315627559e-19]
[+1.4570724300370e+07, +1.1775841999020e-19]
[+1.4569727096973e+07, +1.1927299031096e-19]
[+1.4568723876223e+07, +1.2079685772811e-19]
[+1.4567714644402e+07, +1.2233001267713e-19]
[+1.4566699407826e+07, +1.2387244553886e-19]
[+1.4565678172848e+07, +1.2542414663961e-19]
[+1.4564650945853e+07, +1.2698510625132e-19]
[+1.4563617733264e+07, +1.2855531459162e-19]
[+1.4562578541537e+07, +1.3013476182402e-19]
[+1.4561533377165e+07, +1.3172343805799e-19]
[+1.4560482246674e+07, +1.3332133334909e-19]
[+1.4559425156626e+07, +1.3492843769912e-19]
[+1.4558362113617e+07, +1.3654474105623e-19]
[+1.4557293124277e+07, +1.3817023331503e-19]
[+1.4556218195271e+07, +1.3980490431676e-19]
[+1.4555137333300e+07, +1.4144874384937e-19]
[+1.4554050545097e+07, +1.4310174164769e-19]
[+1.4552957837431e+07, +1.4476388739351e-19]
[+1.4551859217103e+07, +1.4643517071578e-19]
[+1.4550754690951e+07, +1.4811558119067e-19]
[+1.4549644265844e+07, +1.4980510834174e-19]
