[+0.0000000000000e+00, +0.0000000000000e+00]
[-1.3894905265123e+07, -1.3894905265123e+07]
[-1.3894892862816e+07, -1.3894892862816e+07]
[-1.3894877198407e+07, -1.3894877198407e+07]
[-1.3894858271998e+07, -1.3894858271998e+07]
[-1.3894836083717e+07, -1.3894836083717e+07]
[-1.3894810633709e+07, -1.3894810633709e+07]
[-1.3894781922141e+07, -1.3894781922141e+07]
[-1.3894749949202e+07, -1.3894749949202e+07]
[-1.3894714715101e+07, -1.3894714715101e+07]
[-1.3894676220068e+07, -1.3894676220068e+07]
[-1.3894634464355e+07, -1.3894634464355e+07]
[-1.3894589448233e+07, -1.3894589448233e+07]
[-1.3894541171997e+07, -1.3894541171997e+07]
[-1.3894489635960e+07, -1.3894489635960e+07]
[-1.3894434840457e+07, -1.3894434840457e+07]
[-1.3894376785844e+07, -1.3894376785844e+07]
[-1.3894315472499e+07, -1.3894315472499e+07]
[-1.3894250900819e+07, -1.3894250900819e+07]
[-1.3894183071224e+07, -1.3894183071224e+07]
[-1.3894111984152e+07, -1.3894111984152e+07]
[-1.3894037640066e+07, -1.3894037640066e+07]
[-1.3893960039447e+07, -1.3893960039447e+07]
[-1.3893879182797e+07, -1.3893879182797e+07]
[-1.3893795070640e+07, -1.3893795070640e+07]
[-1.3893707703520e+07, -1.3893707703520e+07]
[-1.3893617082003e+07, -1.3893617082003e+07]
[-1.3893523206676e+07, -1.3893523206676e+07]
[-1.3893426078145e+07, -1.3893426078145e+07]
[-1.3893325697038e+07, -1.3893325697038e+07]
[-1.3893222064004e+07, -1.3893222064004e+07]
[-1.3893115179713e+07, -1.3893115179713e+07]
[-1.3893005044856e+07, -1.3893005044856e+07]
[-1.3892891660143e+07, -1.3892891660143e+07]
[-1.3892775026308e+07, -1.3892775026308e+07]
[-1.3892655144103e+07, -1.3892655144103e+07]
[-1.3892532014303e+07, -1.3892532014303e+07]
[-1.3892405637701e+07, -1.3892405637701e+07]
[-1.3892276015114e+07, -1.3892276015114e+07]
[-1.3892143147378e+07, -1.3892143147378e+07]
[-1.3892007035349e+07, -1.3892007035349e+07]
[-1.3891867679906e+07, -1.3891867679906e+07]
[-1.3891725081947e+07, -1.3891725081947e+07]
