--------------------------------------------------------------------------
| Results file:                                                          |
| - List of particles positions at each delta T step.                    |
--------------------------------------------------------------------------
[1.5202542543411255,0.14237937331199646,0.23352684080600739;0.809618353843689,0.9955030083656311,1.5213606357574463;1.054236888885498,1.368491291999817,1.7692065238952637;1.7433844804763794,1.4873086214065552,1.0813795328140259;0.31826087832450867,0.6913937330245972,0.5769056677818298;0.23891079425811768,1.6829577684402466,0.7327522039413452;0.09701743721961975,1.8090194463729858,0.007284640334546566;0.7189145088195801,1.1713916063308716,1.874210000038147;1.1891441345214844,0.38895654678344727,1.6770615577697754;1.0024399757385254,1.3728548288345337,0.25967589020729065;1.5084880590438843,1.2969955205917358,1.9563803672790527;0.5486502647399902,0.28245577216148376,1.1831815242767334;1.0980652570724487,0.0677187591791153,0.5550610423088074;1.2756677865982056,0.588443398475647,0.07862378656864166;0.04220867529511452,1.486178994178772,0.5759719014167786;0.5746301412582397,0.810987651348114,0.7823256254196167]
[1.5196588039398193,0.14354245364665985,0.23342567682266235;0.810590922832489,0.9939746856689453,1.5220751762390137;1.0543559789657593,1.3693974018096924,1.7675392627716064;1.7433844804763794,1.4878246784210205,1.0811413526535034;0.31699320673942566,0.6917210817337036,0.5769652128219604;0.2383507788181305,1.6822829246520996,0.7325667142868042;0.09680116176605225,1.8077491521835327,0.00698454724624753;0.7179816365242004,1.1708368062973022,1.874884843826294;1.1898983716964722,0.39044517278671265,1.676743984222412;1.001050591468811,1.3721983432769775,0.25882241129875183;1.5070589780807495,1.2954870462417603,1.9568170309066772;0.5493846535682678,0.2837161421775818,1.1822288036346436;1.099057674407959,0.0666951909661293,0.5549816489219666;1.2767395973205566,0.5888521075248718,0.0770011842250824;0.04086213558912277,1.4878065586090088,0.5772223472595215;0.5741934776306152,0.8114243149757385,0.7811545729637146]
[1.5190633535385132,0.14471200108528137,0.23332147300243378;0.8115634918212891,0.9924463629722595,1.522789716720581;1.0544750690460205,1.3702707290649414,1.7658720016479492;1.7433844804763794,1.4883407354354858,1.080903172492981;0.31573283672332764,0.6920585036277771,0.5770247578620911;0.23777882754802704,1.6816080808639526,0.7323682308197021;0.09658050537109375,1.8064788579940796,0.006683375220745802;0.7170487642288208,1.170320749282837,1.875559687614441;1.19065260887146,0.3919253647327423,1.6764024496078491;0.9996612071990967,1.371563196182251,0.257968932390213;1.505612850189209,1.2939785718917847,1.9572536945343018;0.5501190423965454,0.2849765121936798,1.1812760829925537;1.1000500917434692,0.065674789249897,0.5549022555351257;1.2778114080429077,0.5892490744590759,0.07538066804409027;0.03951616957783699,1.4894341230392456,0.5784727931022644;0.5737568140029907,0.811860978603363,0.7799835205078125]
[1.5184661149978638,0.14589330554008484,0.23321403563022614;0.8125389814376831,0.990913450717926,1.5235064029693604;1.0545945167541504,1.3711466789245605,1.7641997337341309;1.7433844804763794,1.4888583421707153,1.0806642770767212;0.3144776523113251,0.6923969388008118,0.577084481716156;0.23719224333763123,1.6809312105178833,0.7321691513061523;0.09635481238365173,1.8052047491073608,0.006380253005772829;0.7161130905151367,1.1698031425476074,1.8762365579605103;1.1914091110229492,0.39340850710868835,1.6760441064834595;0.998267650604248,1.3709261417388916,0.25711289048194885;1.5041396617889404,1.2924655675888062,1.9576916694641113;0.5508556365966797,0.28624066710472107,1.1803205013275146;1.1010454893112183,0.0646551176905632,0.5548226237297058;1.2789193391799927,0.5896472334861755,0.07375568151473999;0.03816616162657738,1.491066575050354,0.5797269940376282;0.5733188390731812,0.8122989535331726,0.7788089513778687]
[1.5178706645965576,0.1470775604248047,0.23310486972332;0.8135115504264832,0.9893851280212402,1.5242012739181519;1.0547136068344116,1.3720200061798096,1.7625324726104736;1.7433844804763794,1.4893743991851807,1.0804260969161987;0.313232421875,0.6927343606948853,0.5771520733833313;0.23659482598304749,1.6802563667297363,0.7319706678390503;0.09612523764371872,1.8039344549179077,0.006077006924897432;0.7151802182197571,1.169287085533142,1.8769114017486572;1.192163348197937,0.3948823809623718,1.6756868362426758;0.9968782663345337,1.370290994644165,0.25625619292259216;1.5026708841323853,1.2909570932388306,1.9581283330917358;0.5515900254249573,0.2875010371208191,1.1793677806854248;1.1020379066467285,0.06364166736602783,0.554743230342865;1.2800308465957642,0.5900442004203796,0.07213609665632248;0.036821428686380386,1.4926941394805908,0.5809774398803711;0.5728821754455566,0.8127356171607971,0.7776378989219666]
[1.5172752141952515,0.148269921541214,0.23299193382263184;0.8144841194152832,0.9878568053245544,1.5248761177062988;1.0548326969146729,1.3728933334350586,1.7608652114868164;1.7433844804763794,1.489890456199646,1.0801879167556763;0.311993271112442,0.6930822134017944,0.5772314667701721;0.23598475754261017,1.6795438528060913,0.7317673563957214;0.09589096158742905,1.8026641607284546,0.005772566422820091;0.7142473459243774,1.1687710285186768,1.8775862455368042;1.1929175853729248,0.396351158618927,1.675329566001892;0.9954888820648193,1.3696558475494385,0.25539278984069824;1.50120210647583,1.289448618888855,1.9585649967193604;0.5523244142532349,0.2887614071369171,1.178415060043335;1.1030303239822388,0.06263139843940735,0.5546638369560242;1.2811423540115356,0.5904305577278137,0.07051845639944077;0.03547670319676399,1.4943217039108276,0.582227885723114;0.5724418759346008,0.8131722807884216,0.7764668464660645]
[1.516677975654602,0.14947226643562317,0.2328774631023407;0.8154596090316772,0.986323893070221,1.5255529880523682;1.0549521446228027,1.3737692832946777,1.759192943572998;1.7433844804763794,1.4904080629348755,1.0799490213394165;0.3107589781284332,0.6934405565261841,0.577311098575592;0.23536069691181183,1.678827166557312,0.7315483689308167;0.09565188735723495,1.8013907670974731,0.005466089583933353;0.7133116722106934,1.1682534217834473,1.8782631158828735;1.193674087524414,0.3978235423564911,1.6749712228775024;0.9940832853317261,1.369018793106079,0.2545267939567566;1.4997289180755615,1.2879356145858765,1.95900297164917;0.5530610084533691,0.2900255620479584,1.177459478378296;1.1040257215499878,0.06162172183394432,0.5545842051506042;1.2822571992874146,0.5908088088035583,0.06889595836400986;0.034128621220588684,1.495954155921936,0.5834820866584778;0.5719839930534363,0.8136102557182312,0.7752922773361206]
[1.516082525253296,0.15067839622497559,0.23275840282440186;0.8164321780204773,0.9847955703735352,1.5262278318405151;1.055071234703064,1.3746099472045898,1.7575256824493408;1.7433844804763794,1.4909241199493408,1.079710841178894;0.309535413980484,0.6937978267669678,0.5773904919624329;0.2347261756658554,1.6781126260757446,0.7313300371170044;0.09540954232215881,1.8001477718353271,0.005159338470548391;0.7123787999153137,1.167737364768982,1.8789379596710205;1.1944283246994019,0.39928239583969116,1.6746139526367188;0.9926740527153015,1.3683836460113525,0.25366339087486267;1.4982601404190063,1.2864271402359009,1.9594396352767944;0.5537953972816467,0.2912859320640564,1.176506757736206;1.105018138885498,0.06061823293566704,0.5545048117637634;1.283368706703186,0.5911859273910522,0.06727970391511917;0.03278513625264168,1.4975817203521729,0.5847325325012207;0.5715274810791016,0.8140469193458557,0.7741212248802185]
[1.5154870748519897,0.15189160406589508,0.23263797163963318;0.8174047470092773,0.9832672476768494,1.526902675628662;1.0551903247833252,1.3754435777664185,1.7558584213256836;1.7433844804763794,1.4914401769638062,1.0794726610183716;0.30831798911094666,0.6941550970077515,0.5774698853492737;0.23408038914203644,1.6773980855941772,0.7311117053031921;0.09516279399394989,1.7989171743392944,0.004851220175623894;0.7114459276199341,1.1672213077545166,1.8796128034591675;1.1951825618743896,0.40074124932289124,1.674256682395935;0.991264820098877,1.367748498916626,0.25279998779296875;1.4967913627624512,1.2849186658859253,1.959876298904419;0.5545297861099243,0.2925463020801544,1.1755540370941162;1.1060105562210083,0.05961811542510986,0.5544254183769226;1.2844802141189575,0.5915630459785461,0.06566454470157623;0.03144180774688721,1.4992092847824097,0.5859829783439636;0.5710709691047668,0.8144835829734802,0.7729501724243164]
[1.5148898363113403,0.15311536192893982,0.23251354694366455;0.8183802366256714,0.9817343354225159,1.5275795459747314;1.055309772491455,1.3762797117233276,1.7541861534118652;1.7433844804763794,1.4919577836990356,1.0792337656021118;0.30710360407829285,0.6945205330848694,0.5775641798973083;0.23341991007328033,1.676664113998413,0.7308902144432068;0.09491118043661118,1.7976828813552856,0.004541309084743261;0.71051025390625,1.166703701019287,1.8802896738052368;1.195939064025879,0.40219852328300476,1.6738983392715454;0.9898513555526733,1.3671114444732666,0.2519339919090271;1.4952815771102905,1.2834056615829468,1.9603142738342285;0.5552663803100586,0.2938104569911957,1.1745984554290771;1.1070059537887573,0.058618221431970596,0.5543457865715027;1.2855950593948364,0.5919284820556641,0.0640445351600647;0.03009541891515255,1.500841736793518,0.5872371792793274;0.5706130862236023,0.8149215579032898,0.7717756032943726]
